restaurant,city,totalScore,total_reviews,historical_stars_avg,window_size,recent_sentiment,sentiment_gap,significant,direction,positive_ratio,negative_ratio,recent_stars_avg
Jade Villa Chinese Restaurant,Virginia Beach,4.3,150,4.1466666666666665,7,0.8570974732314497,-0.0029025267685502953,False,stable,0.8571428571428571,0.0,4.285714285714286
Jade Villa Chinese Restaurant,Virginia Beach,4.3,150,4.1466666666666665,10,0.7999620652873016,-0.06003793471269836,False,stable,0.8,0.0,4.3
Lumpia Lane Food Truck,Virginia Beach,5.0,4,5.0,1,0.9999476341766957,-5.2365823304256764e-05,False,stable,1.0,0.0,5.0
Lumpia Lane Food Truck,Virginia Beach,5.0,4,5.0,3,0.9999469645234443,-5.3035476555662875e-05,False,stable,1.0,0.0,5.0
MP Island Café,Norfolk,4.1,150,4.126666666666667,1,0.9999479715600748,0.1799479715600748,False,improving,1.0,0.0,5.0
MP Island Café,Norfolk,4.1,150,4.126666666666667,3,0.3333541417989023,-0.4866458582010976,True,declining,0.6666666666666666,0.3333333333333333,3.6666666666666665
MP Island Café,Norfolk,4.1,150,4.126666666666667,5,0.5999915486537917,-0.22000845134620828,True,declining,0.8,0.2,4.0
MP Island Café,Norfolk,4.1,150,4.126666666666667,7,0.7142647563305539,-0.10573524366944609,False,declining,0.8571428571428571,0.14285714285714285,4.285714285714286
MP Island Café,Norfolk,4.1,150,4.126666666666667,10,0.400013547682594,-0.41998645231740594,True,declining,0.7,0.3,3.7
Marco's Pizza,Virginia Beach,4.0,150,4.013333333333334,1,0.9999486830892224,0.1999486830892223,False,improving,1.0,0.0,5.0
Marco's Pizza,Virginia Beach,4.0,150,4.013333333333334,3,0.33335406429059306,-0.466645935709407,True,declining,0.6666666666666666,0.3333333333333333,3.6666666666666665
Marco's Pizza,Virginia Beach,4.0,150,4.013333333333334,5,0.2000345853412843,-0.5999654146587158,True,declining,0.6,0.4,3.4
Marco's Pizza,Virginia Beach,4.0,150,4.013333333333334,7,0.4285811904667745,-0.37141880953322554,True,declining,0.7142857142857143,0.2857142857142857,3.7142857142857144
Marco's Pizza,Virginia Beach,4.0,150,4.013333333333334,10,0.5000005461952333,-0.2999994538047668,True,declining,0.7,0.2,3.9
Mazari Kebab & More,Virginia Beach,4.5,150,4.486666666666666,1,0.9999481933299983,0.09994819332999827,False,stable,1.0,0.0,5.0
Mazari Kebab & More,Virginia Beach,4.5,150,4.486666666666666,3,0.9999487929999792,0.09994879299997916,False,stable,1.0,0.0,5.0
Mazari Kebab & More,Virginia Beach,4.5,150,4.486666666666666,5,0.9999488144885358,0.09994881448853576,False,stable,1.0,0.0,5.0
Mazari Kebab & More,Virginia Beach,4.5,150,4.486666666666666,7,0.9999487611733056,0.09994876117330553,False,stable,1.0,0.0,5.0
Mazari Kebab & More,Virginia Beach,4.5,150,4.486666666666666,10,0.9999452697027422,0.0999452697027422,False,stable,1.0,0.0,4.9
McDonald's (Bonney Rd),Virginia Beach,3.4,150,2.6266666666666665,1,-0.9998354600683266,-1.6798354600683265,True,declining,0.0,1.0,1.0
McDonald's (Bonney Rd),Virginia Beach,3.4,150,2.6266666666666665,3,-0.9998363415312351,-1.6798363415312352,True,declining,0.0,1.0,1.0
McDonald's (Bonney Rd),Virginia Beach,3.4,150,2.6266666666666665,5,-0.19992229909314457,-0.8799222990931446,True,declining,0.4,0.6,2.6
McDonald's (Bonney Rd),Virginia Beach,3.4,150,2.6266666666666665,7,-0.4284630667875319,-1.108463066787532,True,declining,0.2857142857142857,0.7142857142857143,2.2857142857142856
McDonald's (Bonney Rd),Virginia Beach,3.4,150,2.6266666666666665,10,-0.19991375113536164,-0.8799137511353616,True,declining,0.4,0.6,2.8
McDonald's (Newtown Rd),Norfolk,3.4,150,3.5,1,-0.9998379191497113,-1.6798379191497113,True,declining,0.0,1.0,1.0
McDonald's (Newtown Rd),Norfolk,3.4,150,3.5,3,-0.9998363637295841,-1.6798363637295841,True,declining,0.0,1.0,1.0
McDonald's (Newtown Rd),Norfolk,3.4,150,3.5,5,-0.7998429570896742,-1.4798429570896743,True,declining,0.0,0.8,1.6
